;data\sz\218-abtreibung-familienministerin-lisa-paus-gruene-schwangerschaftsabbruch-kommentar-contra-1.txt;data\sz\92234.txt;data\sz\92295.txt;data\sz\92296.txt;data\sz\92298.txt;data\sz\92302.txt;data\sz\adel-frueherer-griechischer-koenig-konstantin-ii-gestorben-dpa.txt;data\sz\adel-hamburg-bericht-koenig-charles-iii-will-im-maerz-hamburg-besuchen-dpa.txt;data\sz\adel-harrys-memoiren-stuermt-auch-deutsche-buch-charts-dpa.txt;data\sz\adel-koenig-charles-will-im-fruehling-nach-deutschland-reisen-dpa.txt;data\sz\adel-london-koenig-charles-iii-will-im-fruehling-nach-berlin-reisen-dpa.txt;data\sz\adel-prinz-harry-charles-war-eifersuechtig-auf-meghan-und-kate-dpa.txt;data\sz\adel-prinz-harry-ruettelt-an-fundamenten-der-monarchie-dpa.txt;data\sz\adel-prinz-harrys-biografie-willy-diana-und-der-boulevard-dpa.txt;data\sz\adel-rekordstart-fuer-prinz-harrys-memoiren-dpa.txt;data\sz\adel-zoff-kokain-und-eine-blutige-bilanz-harrys-memoiren-dpa.txt;data\sz\adolfo-kaminsky-meisterfaelscher-nachruf-1.txt;data\sz\adventskalender-fuer-gute-werke-spenden-armut-1.txt;data\sz\agrar-alkoholfreier-sekt-wird-haeufiger-ausgeschenkt-dpa.txt;data\sz\aicher-ski-slalom-1.txt;data\sz\aktuelles-lexikon-kindergefaengnis-1.txt;data\sz\aktuelles-lexikon-ocean-race-1.txt;data\sz\alexej-nawalny-krank-russische-mediziner-aufruf-1.txt;data\sz\allgaeu-sternsinger-betrug-polizei-zeugen-1.txt;data\sz\amtsgericht-starnberg-prozess-kinder-und-jugendpornografie-1.txt;data\sz\arbeit-dihk-zu-fachkraeftemangel-betroffen-sind-eigentlich-alle-dpa.txt;data\sz\arbeitsmarkt-chancen-von-frauen-auf-fuehrungspositionen-gestiegen-dpa.txt;data\sz\arbeitsmarkt-chemnitz-auslaendische-arbeitskraefte-sorgen-fuer-beschaeftigungsplus-dpa.txt;data\sz\arbeitsmarkt-hamburg-jobcenter-hamburg-betreut-rund-20000-kriegsfluechtlinge-dpa.txt;data\sz\arbeitsmarkt-viele-unternehmen-durch-fachkraeftemangel-gehemmt-dpa.txt;data\sz\archaeologie-berlin-graeberfund-untersucht-experten-vermuten-junge-person-dpa.txt;data\sz\argentinisches-tageblatt-buenos-aires-zeitung-medien-1.txt;data\sz\armut-krankenversicherung-malteser-aerzte-der-welt-1.txt;data\sz\arno-geiger-das-glueckliche-geheimnis-altpapier-abfall-muell-rezension-1.txt;data\sz\ausstellungen-hannover-kestner-gesellschaft-erinnert-an-avantgarde-vor-100-jahren-dpa.txt;data\sz\bad-reichenhall-unfall-fussgaengerzone-feuerwehr-auto-1.txt;data\sz\bad-toelz-wolfratshausen-ausstellungen-1.txt;data\sz\band-hebertshausen-s2-post-rock-konzert-album-1.txt;data\sz\bau-schwerin-ausbildungskonzept-sorgt-fuer-mehr-bauingenieur-studenten-dpa.txt;data\sz\bayern-randsportarten-radrennen-feldhandball-bergrennen-1.txt;data\sz\bayern-spd-arif-tasdelen-christina-stockfisch-belaestigung-1.txt;data\sz\bayreuth-festspiele-sexismus-1.txt;data\sz\belgien-trainer-linkedin-glosse-fussball-1.txt;data\sz\berg-am-starnberger-see-gisela-forster-benedikt-xvi-frauenrechte-1.txt;data\sz\berg-am-starnberger-see-kunst-hobby-privatsammlung-galerie-serie-1.txt;data\sz\bergbau-erkelenz-letztes-gebaeude-wird-geraeumt-aktivisten-im-tunnel-dpa.txt;data\sz\bergbau-erkelenz-luetzerath-ist-von-doppelzaun-umgeben-raeumung-geht-weiter-dpa.txt;data\sz\bergbau-erkelenz-raeumung-geht-weiter-demonstranten-kommen-nicht-mehr-durch-dpa.txt;data\sz\bergbau-erkelenz-weitgehend-ruhige-nacht-in-luetzerath-dpa.txt;data\sz\bergbau-zu-klaviermusik-rueckt-die-polizei-nach-luetzerath-ein-dpa.txt;data\sz\bergkirchen-kultur-alte-schule-lauterbach-sz-kulturpreis-tassilo-1.txt;data\sz\berlin-gefluechtete-notstand-wohnung-obdachlosigkeit-1.txt;data\sz\berlin-silvester-cdu-migration-vornamen-arbeitskraefte-gastkommentar-1.txt;data\sz\bester-dinge-gendern-staedtenamen-frankreich-pantin-pantine-1.txt;data\sz\biathlon-auch-deutsche-frauen-staffel-in-ruhpolding-auf-platz-zwei-dpa.txt;data\sz\biathlon-biathlet-doll-keine-langstreckenfluege-in-den-urlaub-dpa.txt;data\sz\biathlon-biathlon-stromausfall-reserve-system-funktionierte-nicht-dpa.txt;data\sz\biathlon-boe-fuehlt-sich-staerker-denn-je-dpa.txt;data\sz\biathlon-chaos-durch-stromausfaelle-boe-gewinnt-doll-sechster-dpa.txt;data\sz\biathlon-deutsche-staffel-in-ruhpolding-auf-rang-zwei-hinter-norwegen-dpa.txt;data\sz\biathlon-die-waxmafia-hilft-norwegens-biathleten-nicht-zu-stoppen-dpa.txt;data\sz\biathlon-extra-batteriesystem-rettete-ergebnisse-nach-stromausfall-dpa.txt;data\sz\biathlon-frauen-einzel-ruhpolding-stromausfall-oesterreich-1.txt;data\sz\biathlon-herrmann-wick-trotz-platz-15-im-plan-fuer-die-heim-wm-dpa.txt;data\sz\biathlon-ruhpolding-als-vorgeschmack-auf-biathlon-wm-dpa.txt;data\sz\biathlon-ruhpolding-auch-deutsche-frauen-staffel-in-ruhpolding-auf-platz-zwei-dpa.txt;data\sz\biathlon-ruhpolding-biathletinnen-loben-gute-bedingungen-trotz-des-wetters-dpa.txt;data\sz\biathlon-ruhpolding-boe-fuehlt-sich-staerker-denn-je-doll-gibt-trotzdem-nicht-auf-dpa.txt;sz;Insgesamt
bewerben;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;2.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0015332292595896522;0.0015332292595896522
digitalen;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0015332292595896522;0.0015332292595896522
stellenmarkt;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0015053523639607493;0.0015053523639607493
szcss-gbxai8font-family'szsansdigital''neue;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0015053523639607493;0.0015053523639607493
"ease-in-out;border-colorcurrentcolor;colorinherit;margin-top4px;css-dtlrdbhoverborder-bottom-colortransparent;jobs";0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0015053523639607493;0.0015053523639607493
digitale;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0015053523639607493;0.0015053523639607493
produkte;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0015053523639607493;0.0015053523639607493
"jetztcss-io3sxkborder-colorcurrentcolor;colorinherit;margin-top4px;css-dtlrdbfont-family'szsansdigital''neue";0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0015053523639607493;0.0015053523639607493
möchten;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0015053523639607493;0.0015053523639607493
vergleichsportal;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0015053523639607493;0.0015053523639607493
weiterentwickeln;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0015053523639607493;0.0015053523639607493
"helvetica''helvetica'sans-serif;font-size14px;font-weight400;line-height15;margin-right12px;sie";0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0015053523639607493;0.0015053523639607493
anspruchsvollen;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0015053523639607493;0.0015053523639607493
"0;-webkit-text-decorationnone;text-decorationnone;-webkit-transitionborder-bottom";0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0015053523639607493;0.0015053523639607493
berufsfeldern;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0015053523639607493;0.0015053523639607493
wurde;0.0;0.0;1.0;1.0;1.0;2.0;5.0;0.0;0.0;0.0;0.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;1.0;0.0;0.0;2.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;3.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;3.0;1.0;5.0;0.0;0.0;1.0;3.0;3.0;0.0;1.0;1.0;1.0;0.0014774754683318466;0.0014774754683318466
themain;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0014774754683318466;0.0014774754683318466
